FCCS fuelbedID,FCCS fuelbed_name,site_description,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM MapID,SAF/SRM Description,Urbanski Flame/Smold WF,Urbanski Residual,Urbanski Duff,Urbanski Flame/Smold Rx (CHECK),FINN Cover Type (CHECK)
234,Sagebrush shrubland,Southwestern sagebrush steppe prescribe-burned two years previously to reduce density of sagebrush. This fuelbed was developed based on data from Zion NP.,7,186,187,198,,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Shrub,CWD residual,Temperate residual,Shrub,Shrublands
62,Vaccinium - Heather shrublands,"Subalpine meadows of the northwest are commonly dominated by Vaccinium and heather.  Vaccinium is dominant for seven to nine years following disturbances such as fire or avalanches, and may be maintained indefinitely on harsh sites.  There was a wildfire on this site seven years earlier.",8,112,113,164,171,SRM 108: Alpine Idaho Fescue,Shrub,CWD residual,Temperate residual,Shrub,Savanna/Grassland
28,Ponderosa pine savanna,"Before 1900, millions of acres of land in the coastal and interior West from Washington State to New Mexico, harbored open ponderosa pine stands in native bunchgrass savannas.  Since the turn of the 20th centry, fire exclusion has vastly reduced the area of these savannas. Excessive grazing has changed the species composition away from native bunch grasses and towards range grasses. These undisturbed forests require frequent low severity ground fires to keep ponderosa pine seedlings from establishing in excessive numbers and creating dense thickets.",10,144,,,,SRM 110: Ponderosa Pine - Grassland,Grass,CWD residual,Temperate residual,Grass,Savanna/Grassland
53,Pacific ponderosa pine forest,"Open stands of ponderosa pine are fire-dependent communities of the Cascades, Sierras and Rocky Mountains.  Dense thickets of &quot;doghair&quot; pine are common due to fire suppression, and have turned these stands into forests. This fuelbed was developed based on data from the Lake Roosevelt National Recreation Area.",10,144,,,,SRM 110: Ponderosa Pine - Grassland,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Savanna/Grassland
211,Interior ponderosa pine forest,Interior west ponderosa pine forest with dense thickets of doghair pine due to fire suppression. This fuelbed was developed based on data from Grand Canyon National Park.,10,144,,,,SRM 110: Ponderosa Pine - Grassland,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Savanna/Grassland
212,Pacific ponderosa pine forest,Fire suppressed ponderosa pine forest has been selectively thinned to recreate an open stand of pine.  Mistletoe infested trees have been removed and stand is prepared for prescribed burn treatment. This fuelbed was developed based on data from the Lake Roosevelt National Recreation Area.,10,152,,,,SRM 110: Ponderosa Pine - Grassland,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Savanna/Grassland
222,Interior ponderosa pine forest,"This interior west ponderosa pine forest exhibited dense thickets of doghair pine due to fire suppression.  To reduce tree density and fuels, this stand was treated twice with prescribed fire. This fuelbed shows conditions two years after the last burn. This fuelbed was developed based on data from Grand Canyon National Park.",10,144,,,,SRM 110: Ponderosa Pine - Grassland,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Savanna/Grassland
36,Live oak - Blue oak woodland,Coastal mountain range woodlands and savannas in the Pacific Southwest .  Often referred to as California's southern oak woodland.,11,12,158,,,SRM 201: Blue Oak Woodland,Western forest (WF),CWD residual,Temperate residual,SW Forest (Rx),Savanna/Grassland
1,Black cottonwood - Douglas fir - Quaking aspen riparian forest,"Forests comprised of black cottonwood with a coniferous and a deciduous component are found along rivers and floodplains throughout the Pacific Northwest.  The coniferous component can consist of Douglas-fir, ponderosa pine, grand fir, Engelmann spruce and other species. The deciduous component can consist of various species of cottonwood, aspen, alder, maple or birch. These deciduous riparian forests rarely burn, but are subject to disturbance such as flooding and changes in river channels.",13,129,142,,,SRM 203: Riparian Woodland,Western forest (WF),CWD residual,Temperate residual,NW Forest (Rx),Temperate Forest
140,Jack pine / Black spruce forest,Characterizing low elevation jack pine forests that are part of the southern boreal forest in MN and MI.  Jack pine dominates the overstory while black spruce dominates the midstory and understory.  This fuelbed represents stands ranging in age from approximately 30 to 70 years.,14,,,,,SAF 1: Jack Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
146,Jack pine forest,"Dry jack pine forest found at low elevations throughout northern Lakes States on outwash soils and in the northeastern United States.  Mature forest, without fire for approximately 75 years.",14,,,,,SAF 1: Jack Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
147,Jack pine savanna,Open jack pine savannas occurring in northern Lake States on droughty soils.,14,,,,,SAF 1: Jack Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
148,Jack pine forest,Young jack pine forest occurring at low elevations throughout northern Lakes States on outwash soils.  Regeneration 15 years following fire.,14,,,,,SAF 1: Jack Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
268,American beech - Yellow birch - Sugar maple - Eastern hemlock forest,Northern hardwoods forest with a significant hemlock and/or balsam fir component.  Occurs in the northern portions of the Lake States.  Fuelbed represents stands ranging from 50 to 100 years old.,15,36,38,,,SAF 5: Balsam Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
143,Trembling aspen - Paper birch - White spruce - Balsam fir forest,"Southern boreal mixed forest dominated by trembling aspen and paper birch with white spruce and balsam fir in the overstory and midstory.  Black spruce, pines and other conifers are also possible canopy components.  This forest type develops following clearcutting and stand replacing fires.  Early seral communities are dominated by hardwoods, but as the stands age spruce and fir become more important canopy components. This fuelbed represents 20 to 70 year old stands.",16,20,22,,,SAF 5: Balsam Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
279,Black spruce - Northern white cedar - Larch forest,"Northern conifer bogs dominated by pure stands or mixtures of black spruce, northern white cedar or larch on deep peat soils.  This fuelbed represents 20-50 year old stands.  Conifer bogs occur throughout the northern Lake States region and in the northeastern United States up to 1300 feet in elevation.",16,19,29,,,SAF 5: Balsam Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
265,Balsam fir - White spruce - Mixed Hardwoods forest,"Great Lakes white spruce and balsam fir forest occurring on gentle to moderate, typically lower,  slopes.  Canopy codominants vary but can include maple, trembling aspen and paper birch.   This fuelbed type is common in northern Michigan, Wisconsin, Minnesota ranging into Canada.",18,,,,,SAF 107: White Spruce,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
142,Trembling aspen - Paper birch forest,"Aspen and birch forest of the Northern Great Lakes States (MI, MN, WI) and adjacent Canadian provinces.  Elevation ranges from 600 to 1200 feet.  This fuelbed represents forests that are less than 60 years old.",20,22,,,,SAF 16: Aspen ,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
106,Red spruce - Balsam fir forest,Mature red spruce - balsam fir forest following budworm infestation. Generally occurs between 800-3000 feet elevation; elevation decreases as increase in latitude.  Budworm return interval is shorter in recent times than historically.  Fire frequency has increased in the last 150 years.,24,,,,,SAF 33: Red Spruce-Balsam Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
155,Red spruce - Balsam fir forest,Mature red spruce - balsam fir forest which generally occurs between 800-3000 feet elevation.   Fire frequency has increased since European occupation.  Red spruce - balsam fir forests are susceptible to spruce budworm infestations.  This fuelbed is described from a forest that developed on a site that was clearcut for agricultural use and abandoned 100+ years ago.,24,,,,,SAF 33: Red Spruce-Balsam Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
270,Red spruce - Fraser fir / Rhododendron forest,"High elevation (above 4500 feet) conifer forest in the southern Appalachian mountains occurring in  NC, TN, and VA.  Dominated by red spruce and Fraser fir with a variable deciduous canopy component depending on elevation.  Red spruce dominates at the lower ends of the elevation range, while Fraser fir dominates the upper end of the elevation range.  Dense evergreen shrub stratum.  The balsam woolly adelgid has affected most of this forest type, killing many mature Fraser fir.",25,,,,,SAF 34: Red Spruce-Fraser Fir,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
267,American beech - Yellow birch - Sugar maple - Red spruce forest,"Northern hardwoods forest with a significant spruce and/or hemlock component.  Occurs at low to mid elevations (generally less than 3000 ft) in CT, MA, ME, NH, NJ, NY, RI, and VT.  Fuelbed represents forests greater than 50 years old.",26,27,38,,,SAF 30: Red Spruce-Yellow Birch,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
138,Red pine - White pine forest,Old growth red pine - white pine forests found throughout the Upper Lakes states. Most forests of this type have undergone fire exclusion for 50+ years.  Old growth forests in this area are highly susceptible to windthrow during severe thunderstorms. Similar forests occur in the northeast.,30,31,,,,SAF 15: Red Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
152,Red pine - White pine forest,"Old growth red pine - white pine forest following severe windthrow.  This fuelbed describes loadings 1-2 years following large windstorm events (such as the July 4, 1999 storm in Minnesota).",30,31,,,,SAF 15: Red Pine,Boreal forest,CWD residual,Boreal residual,Boreal forest,Boreal Forest
287,Eastern white pine - Eastern hemlock forest,"Forest dominated by eastern white pine and eastern hemlock in the northeast, Lake states, and ranging south along the Appalachian mountains to NC and TN.  At the northern part of the range elevations are typically below 2000 feet, while farther south the type is found between 2000 and 3500 feet.  Fuelbed represents 40-70 year old stands.",32,,,,,SAF 22: White Pine-Hemlock,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
109,Eastern white pine - Northern red oak - Red maple forest,"Eastern white pine and northern red oak are dominant with red maple as a common canopy associate.   Northern hardwood species such as beech, birch, ash and sugar maple may also be present.  This fuelbed type extends through New England west and south to PA, NY and beyond along the Appalachian mountains, typically lower than 3000 feet in elevation.  Fuelbed represents a 50-100 year old forest.",34,,,,,SAF 20: White Pine-Northern Red Oak-Red Maple,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
275,Chestnut oak - White oak - Red oak  forest,"Dry to dry-mesic oak-dominated forests occurring in the Appalachian mountains on ridgetops and upper slopes, generally between 700-3000 in elevation.  This fuelbed type is most commonly found in NC, SC, TN, KY, VA, WV, and New England and extends into OH, PA, AL and GA.  Similar forests can occur on dry edaphic conditions throughout the range of chestnut oak.  Fuelbed represents stands ranging from 50 to 100 years of age.",34,50,,,,SAF 20: White Pine-Northern Red Oak-Red Maple,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
110,American beech - Yellow birch - Sugar maple forest,"Northern hardwoods forest dominated by beech, birch and sugar maple.  One of the most common fuelbeds in north central to northeastern North America, generally occuring below 2500 feet in elevation.  This fuelbed may occur on former farm fields, around settled areas, or on industrial forestlands and represents stands greater than 60 years old.  Most northern hardwoods forests have been repeatedly selection cut in the past.",38,42,44,,,SAF 25: Sugar Maple-Beech-Yellow Birch,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
266,Sugar maple - Basswood forest,"Deciduous forest dominated by sugar maple (Acer saccharum) and basswood (Tilia americana) with various other tree species including northern red oak (Quercus rubra var. ambigua), white ash (Fraxinus americana), and elm species (Ulmus spp.) occurring in the overstory.  Primarily in Minnesota, Wisconsin, and Iowa, but can also occur throughout the central and northern hardwood forest regions.  Basswood and maple are fire-sensitive.  Mature forests dominated by these species do not burn readily and have generally had long fire-free periods (~150 years or more) or have had only patchy surface fires.",39,,,,,SAF 26: Sugar Maple-Basswood,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
269,Sugar maple - Yellow poplar - American beech - Oak forest,"Mixed mesophytic forests.  Western variant is usually found between  1000 - 3000 feet in TN, KY, OH, PA, WV, IL, IN and MO.  Eastern variant is usually found between 2000 - 4500 feet in protected sites of the southern Blue Ridge (NC, SC, GA, TN, VA), the Cumberland Mountains of KY, and the Allegheny Plateau of WV and OH.  These forests have highly variable canopy composition; characteristic canopy dominants can include American beech, sugar maple, yellow poplar, oaks, basswood and buckeyes.",41,56,,,,SAF 60: Beech-Sugar Maple,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
274,American beech - Sugar maple forest,Mesic forest occurring mainly from Michigan and Indiana east to western New York.  Scattered patches of this forest type are possible within the range of sugar maple and American beech.  This fuelbed represents forests greater than 60 years old.,41,,,,,SAF 60: Beech-Sugar Maple,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
264,Post oak - Blackjack oak forest,"Post oak and blackjack oak broadleaf forest to woodland on rolling topography commonly referred to as the &quot;Crosstimbers&quot; in northeastern TX through eastern-central OK and extending into southeastern KS.  This fuelbed varies from closed forest to open woodland with open prairie inclusions depending on soils and rainfall.  With fire exclusion, oak root sprouts, understory growth and vines can create ladder fuels.  With a history of grazing, annual grasses increase.  Fuelbed represents stands greater than 50 years old.",47,273,274,,,SAF 40: Post Oak-Blackjack Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
154,Bur oak savanna,"Oak woodlands or savannas bordering and occurring within prairie-dominated regions.  These savannas are generally dominated by bur oak (Quercus macrocarpa).  This savanna type is maintained by fire and is found from SD west into WY, south into OK, and east into MO and IA.  The structure of this fuelbed type is fairly homogenous, while the actual additional canopy species, shrubs and herbaceous vegetation vary throughout this region.  Fire exclusion has allowed encroachment of other oaks and mixed deciduous species.",48,143,278,,,SAF 42: Bur Oak ,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
243,Pitch pine / Scrub oak shrubland,"Shrubland dominated by pitch pine (Pinus rigida) regeneration and shrubby oaks on droughty sites, often on sands or exposed ledges.  Represents regeneration 5-10 years following severe wildfire in a pitch pine and scrub oak forest.  Occurs along the Atlantic coastal plain in New Jersey north to midcoast Maine, west to central NY and south into the southern Appalachians to Virginia.",49,63,,,,SAF 43: Bear Oak,SE forest,CWD residual,Temperate residual,SE forest,Shrublands
123,White oak - Northern red oak - Black oak - Hickory forest,"Found on dissected hills and valleys, local relief varies from approximately 300-600 feet.  Sandstone outcrops not uncommon.  This fuelbed includes oak - hickory forests in the central United States (IL, MO, AR and surrounding areas) and in the east from GA into NH.  These forests are second growth and fire has been excluded for at least 40-50 years.   Fire exclusion favors establishment of red maple and reduces oak regeneration.",51,,,,,SAF 52: White Oak-Black Oak-Northern Red Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
125,Oak - Hickory - Pine - Eastern hemlock forest,"Oak - hickory - pine - eastern hemlock forest occurring on dissected hills and valleys, local relief varies from approximately 300-600 feet.  Sandstone outcrops not uncommon.  Scattered conifer species:  eastern hemlock (Tsuga canadensis) predominately occurs in moist coves and along north-facing slopes; pine species occur on drier sites.",51,,,,,SAF 52: White Oak-Black Oak-Northern Red Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
134,White oak - Northern red oak - Hickory forest,"Found on dissected hills and valleys, local relief varies from approximately 300-600 feet.  Sandstone outcrops not uncommon.  This description includes oak -hickory forests in the central United States (IL, MO, AR and surrounding areas) and in the east from north GA to NH.  This slash fuelbed represents 1 to 2 year old clearcut oak - hickory forests.  The slash has leaves attached as harvest occurred during the growing season and scattered trees are present.",51,,,,,SAF 52: White Oak-Black Oak-Northern Red Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
180,Red maple - Oak - Hickory - Sweetgum forest,50-80 year old upland red maple - oak - hickory - sweetgum forest primarily in the piedmont of the southeastern United States.  This fuelbed type has been high-graded in the last 50-75 years; lower quality hardwoods remain.,51,52,,,,SAF 52: White Oak-Black Oak-Northern Red Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
90,White oak - Northern red oak forest,"White oak and northern red oak dominated forest in the midwestern United States. Occurs on dry-mesic sites with flat to rolling topography throughout the central and north-central eastern United States (generally less than 1100 ft in elevation).  Other canopy components can include black hickory (Carya texana),  shagbark hickory (C. ovata), maples (Acer spp.), and other midwestern oaks such as bur oak (Quercus macrocarpa) and pin oak (Q. ellipsoidalis) depending on geographic location.  Fuelbed represents stands greater than 50 years old.",52,54,,,,SAF 53: White Oak,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
284,Green ash - American elm - Silver maple - Cottonwood forest,"Northern floodplain forest dominated by a mixture of elms, green ash, cottonwood and silver maple occurring mainly in the midwestern United States, but also in the northeast.  Due to Dutch elm disease, American elm makes up less of the overstory than in the past.  Red maple may also be a dominant canopy species rather than silver maple in parts of the range.  Fuelbed represents stands ranging from 40 to 85 years old.",60,,,,,SAF 62: Silver Maple-American Elm,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
107,Pitch pine / Scrub oak forest,"Woodlands dominated by pitch pine (Pinus rigida) on low elevation droughty sites, often on sands or exposed ledges. Occurs along north Atlantic coastal plain north to midcoast Maine, west to central New York and south into the southern Appalachians to Virginia.  In the northern end of its range, this type generally occurs under 1700 feet, while farther south it occurs between 1500 and 4000 feet in elevation. Established after fire more than 50 years ago.  The canopy may also contain other pine species depending on geographic location.",63,,,,,SAF 45: Pitch Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
114,Virginia pine - Pitch pine -  Shortleaf pine forest,"Dry pine forest, typically dominated by a mixture of Virginia pine, pitch pine and shortleaf pine.  The deciduous component increases with fire exclusion.  This forest type is found primarily on upper slopes and ridgetops of the southern Appalachians and Ridge and Valley up to 2500 feet in elevation.  This forest type can occur on xeric soils in AL, GA, IN, KY, NC, OH, PA, SC, TN, VA and WV.  Fuelbed represents stands that are 40-80 years old.",63,68,69,,,SAF 45: Pitch Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
120,Oak - Pine / Mountain laurel forest,"Predominantly old growth oak - pine / mountain laurel forest throughout the Appalachians on ridges and slopes from 1000-3500 feet characterized by a mixed oak and pine overstory with a very dense mountain laurel (Kalmia latifolia) shrub layer.  This forest type, with a shortleaf pine component, also occurs in the Ouachita and Ozark mountains of the midwest.   Fire exclusion (50+ years) promotes dominance of oaks and other hardwoods.",63,76,77,,,SAF 45: Pitch Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
121,Oak - Pine / Mountain laurel forest,Predominantly old growth oak - pine / mountain laurel forest throughout the Appalachians on ridges and slopes from 1000-3500 feet characterized by a mixed oak and pine overstory with a very dense mountain laurel (Kalmia latifolia) shrub layer.   The canopy pine component has been reduced by Southern Pine Beetle damage that occurred approximately 10 years ago.,63,76,77,,,SAF 45: Pitch Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
124,Pitch pine - Oak forest,"Pitch pine and oak dominated forests on droughty soils in the northeastern United States.  Most commonly occur in NY, NJ, CT, and PA, but similar forests range north into Maine.  Fuelbed represents stands greater than 60 years old.",63,,,,,SAF 45: Pitch Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
135,Eastern redcedar - Oak / Bluestem savanna,"Cedar glades and cedar - hardwood woodlands.  Open eastern redcedar overstory often with a bluestem-dominated herbaceous layer on thin soils over calcareous substrates.  Rock outcrops common.  This fuelbed type occurs in Tennessee, Alabama, Missouri and Arkansas.  Scattered occurrences of similar vegetation are found on alkaline soils throughout the the central and northeastern United States.",64,275,280,,,SAF 46: Eastern Redcedar,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
164,Sand pine forest,20-60 year old xeric sand pine scrub forests occurring along the central ridge of FL and coastal AL and FL with a relatively closed canopy dominated by sand pine (Pinus clausa) with scrub oaks in the understory.,65,,,,,SAF 69: Sand Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
188,Sand pine - Oak forest,"Xeric sand pine scrub forests occurring along the central ridge of FL and coastal AL and FL with a relatively closed canopy dominated by sand pine (Pinus clausa) and a dense to somewhat open subcanopy of mixed scrub oaks including myrtle oak (Quercus myrtifolia),  sand post oak (Q. margarettiae), scrub oak (Q. inopina), turkey oak (Q. laevis), Chapman oak (Q. chapmanii), laurel oak (Q. hemispherica), etc.  Forests regenerated from fire around 70 years ago.",65,285,,,,SAF 69: Sand Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
189,Sand pine - Oak forest,"Xeric sand pine scrub forests occurring along the central ridge of FL and coastal AL and FL with an open overstory of sand pine (Pinus clausa) and a dense subcanopy of mixed scrub oaks including myrtle oak (Quercus myrtifolia),  sand post oak (Q. margarettiae), scrub oak (Q. inopina), turkey oak (Q. laevis), Chapman oak (Q. chapmanii), laurel oak (Q. hemispherica), etc.  Forest is 90-120 years old and the overstory is sparse due to pine mortality.",65,285,,,,SAF 69: Sand Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
165,Longleaf pine / Three-awned grass - Pitcher plant savanna,"Mesic to wet savannas with very open, scattered longleaf pine (Pinus palustris) over a diverse herbaceous layer dominated by grasses and many forb species, 2-3 years following prescribed fire.  History of periodic prescribed fire maintains herbaceous layer diversity by reducing cover of invading (native and exotic) shrubs and trees.",66,289,298,,,SAF 70: Longleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
166,Longleaf pine / Three-awned grass - Pitcher plant savanna,"Canopy of longleaf pine (Pinus palustris) with a sparse to very dense shrub layer and a diverse herbaceous layer.  The small tree-shrub layer increases in cover with fire exclusion, generally occurring in patches rather than continuous strata; species include wax myrtle (Morella cerifera), sweetbay magnolia (Magnolia virginiana), titi (Cyrilla racemiflora), and gallberry (Ilex glabra). This description is typical of a site with 25+ years of fire exclusion.",66,289,298,,,SAF 70: Longleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Savanna/Grassland
241,Longleaf pine - Loblolly pine forest,40 year old longleaf or loblolly pine forests damaged by windthrow associated with hurricanes along the southeastern Atlantic and Gulf coasts.,66,67,70,,,SAF 70: Longleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
242,Longleaf pine - Loblolly pine forest,40 year old longleaf or loblolly pine forests damaged by windthrow associated with hurricanes along the southeastern Atlantic and Gulf coasts.  Stands treated with prescribed headfires in the spring to reduce fuel loads.  6 months following prescribed fire.,66,67,70,,,SAF 70: Longleaf Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
182,Longleaf pine - Slash pine / Saw palmetto - Gallberry forest,Longleaf pine and slash pine forest occurring throughout the southeastern coastal plain from VA south to FL and west to into TX characterized by an overstory of longleaf pine (Pinus palustris) and slash pine (Pinus elliottii) and a shrub layer dominated by saw palmetto (Serenoa repens) and/or gallberry (Ilex glabra).  Saw palmetto is less important or not present in NC and VA.  Fire exclusion for 30 or more years.,67,,,,,SAF 83: Longleaf Pine-Slash Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
190,Slash pine - Longleaf pine  / Gallberry forest,Slash pine -  longleaf pine / gallberry forest occurring throughout the southeastern coastal plain from VA south to FL and west to into TX characterized by a dense overstory of longleaf pine (Pinus palustris) and slash pine (Pinus elliottii) and a very dense shrub layer dominated by gallberry (Ilex glabra).  Fire exclusion for 40 or more years.,67,289,,,,SAF 83: Longleaf Pine-Slash Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
191,Longleaf pine - Slash pine / Gallberry forest,Regularly prescribe burned longleaf pine - slash pine / gallberry forest occurring throughout the southeastern coastal plain from VA south to FL and west to into TX characterized by an open overstory of longleaf pine (Pinus palustris) with a less significant canopy component of slash pine (P. elliottii).  The shrub layer is moderately to very dense with clumps of gallberry (Ilex glabra).  The herbaceous layer is sparse and dominated by wiregrasses (Aristida spp.) or bluestems (Andropogon spp.).  Prescribed fire every 5-7 years maintains an open structure and reduces shrub layer density.,67,75,289,,,SAF 83: Longleaf Pine-Slash Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
291,Longleaf pine - Slash pine / Saw palmetto forest,Fire suppressed longleaf pine - slash pine / saw palmetto forest occurring throughout the southeastern coastal plain from VA south to FL and west to into TX characterized by a dense overstory of longleaf pine (Pinus palustris) and slash pine (Pinus elliottii) and a very dense shrub layer dominated by saw palmetto (Serenoa repens).  Fire exclusion for 30 or more years.,67,,,,,SAF 83: Longleaf Pine-Slash Pine,SE forest,CWD residual,Temperate residual,SE forest,Temperate Forest
